station_name
(Bodensee)
(Inn) Bahnhof
-11-
35
A-Magnus-Str.
A.-Fachkliniken
A.-Kasperbauer-Str
A.-Seitz Weg
Abzw. Harm
Abzw. Harrhof (b. Allersberg)
Abzw. Hartenhof
Abzw. Harting
Abzw. Haselbrunn
Abzw. Haslach
Abzw. Hasling
Abzw. Hattersdorf
Abzw. Haunersdorf
Abzw. Haunerting
Abzw. Haunoldshofen
Abzw. Hauseck
Abzw. Hausen
Abzw. Hausen (b. Greding)
Abzw. Hausraitenbuch
Abzw. Hawangen
Abzw. Heblesricht
Abzw. Heckenhof
Abzw. Heckmühle
Abzw. Hedersdorf
Abzw. Heglau
Abzw. Heidenkam
Abzw. Heinzhof
Abzw. Hellenbach
Abzw. Herbsdorf
Abzw. Hermannsberg
Abzw. Hermannsberg (b.Berching)
Abzw. Hermes
Abzw. Heroldsmühle
Abzw. Herpersdorf (b.Dietenh.)
Abzw. Herzogenreuth
Abzw. Herzogwind
Abzw. Heubsch
Abzw. Heuchling (b. Lauf)
Abzw. Hieber
Abzw. Hilpersried
Abzw. Hiltenfinger Str
Abzw. Himmelkron B 303
Abzw. Himmelkronstr.
Abzw. Hinterbuchberg
Abzw. Hintersberg
Abzw. Hirschaid
Abzw. Hirschbach (b. Dürrw.)
Abzw. Hirschberg
Abzw. Hirschbergstr.
Abzw. Hirschenbühl
Abzw. Hochgreut
Abzw. Hochriesbahn
Abzw. Hochweg
Abzw. Hof
Abzw. Hofstarring
Abzw. Hofstetten
Abzw. Hofstetten (b. Ensdorf)
Abzw. Hofthambach
Abzw. Hofwimm
Abzw. Hohe Tanne
Abzw. Hohengebraching
Abzw. Hohenmühle
Abzw. Hohenpölz
Abzw. Hohenschwärz
Abzw. Hohenstein
Abzw. Hohenwarth
Abzw. Hohestadt
Abzw. Hollen
Abzw. Holzen-Gögging
Abzw. Holzheim
Abzw. Holzlagerplatz
Abzw. Holzmann
Abzw. Hopfen
Abzw. Hopfenweg
Abzw. Horb (b. Mitwitz)
Abzw. Hornau
Abzw. Hornungsreuth
Abzw. Hs.-Nr. 3
Abzw. Hubertusweg
Abzw. Hummelsberg
Abzw. Hummeratsried
Abzw. Härtsfeldweg
Abzw. Häslabronn
Abzw. Höchstädt
Abzw. Höfen
Abzw. Höfl
Abzw. Höfles (b. Stadtsteinach)
Abzw. Höfles bei Gräfenberg
Abzw. Högling
Abzw. Höhen
Abzw. Höhenberg
Abzw. Höhendorf
Abzw. Hölsbrunn
Abzw. Hörmannsdorf
Abzw. Hörwart
Abzw. Hötzing
Abzw. Hößl
Abzw. Hühnerloh
Abzw. Iberlsmühle
Abzw. Igelsbach
Abzw. Illerbeuren
Abzw. Illkofen (Beratzhausen)
Abzw. Immelberg
Abzw. Immenstetten
Abzw. Industriegebiet Nord
Abzw. Irchenbrunn
Abzw. Irgertshofen
Abzw. Irlach
Abzw. Irnkofen
Abzw. Ischhofen
Abzw. JVA
Abzw. Jakob-Oswald-Str.
Abzw. Joshofen
Abzw. Junkersdorf
Abzw. Junkersdorf/Rabelsdorf
Abzw. Kainach
Abzw. Kainsricht
Abzw. Kalchsreuth
Abzw. Kalsing
Abzw. Kaltenbach (Lkr. RO)
Abzw. Kampberg
Abzw. Kapelle
Abzw. Karmensölden
Abzw. Kasberg
Abzw. Kastenhoibl
Abzw. Kaulhausen
Abzw. Keilberg
Abzw. Kellern
Abzw. Kemating
Abzw. Kemmern
Abzw. Kemnatheröd
Abzw. Kesselhütte
Abzw. Kestel
Abzw. Ketschendorf
Abzw. Kiesenhof
Abzw. Kindsmühle/Mitterhaid
Abzw. Kirchberg
Abzw. Kirchbergsmühle
Abzw. Kirche
Abzw. Kirchenbirkig
Abzw. Kirchstetten
Abzw. Kirschbaum
Abzw. Kleedorf
Abzw. Kleetzhöfe
Abzw. Kleinbergham
Abzw. Kleinfalz
Abzw. Kleinhemsbach
Abzw. Kleinholzhausen
Abzw. Kleinhöbing
Abzw. Kleinmeinfeld
Abzw. Kleyenmühle
Abzw. Klingen
Abzw. Knappenfeld
Abzw. Kochenthal
Abzw. Kolmreuth
Abzw. Koneberg
Abzw. Konrad-Adenauer-Str.
Abzw. Koppenschallbach
Abzw. Kotalm
Abzw. Kraisdorf
Abzw. Krankenhaus
Abzw. Kranzer
Abzw. Kreisstr.
Abzw. Kressenhof
Abzw. Krettenbach
Abzw. Kreuth
Abzw. Kreuzhof
Abzw. Kriegenbrunn
Abzw. Krobshausen
Abzw. Krondorf (b. Hirschau)
Abzw. Kronmühle
Abzw. Kropfersricht/Happy Rock
Abzw. Krottenthal
Abzw. Krumbach
Abzw. Krumpes
Abzw. Kruppach (b. Mühlh.)
Abzw. Kröglitzen
Abzw. Kugelmühle
Abzw. Kumpfhof
Abzw. Kurhaus
Abzw. Käferbach
Abzw. Köbing
Abzw. Köngetried
Abzw. Könghausen
Abzw. Königsried
Abzw. Körnersdorf
Abzw. Kühholzen
Abzw. Kühnhausen
Abzw. Kühnhof
Abzw. Kühthal
Abzw. Kütschenrain
Abzw. Laaber (b. Pilsach)
Abzw. Lagerhausstr.
Abzw. Lam
Abzw. Lamlhof
Abzw. Lammhof
Abzw. Lampersberg
Abzw. Lampersdorf
Abzw. Lampertshofen
Abzw. Landl
Abzw. Landvolkshochschule
Abzw. Lange Gasse
Abzw. Langenkatzbach
Abzw. Langenried
Abzw. Langensteinbach
Abzw. Lattenbuch
Abzw. Laus
Abzw. Lauter/Stralsbach
Abzw. Lauter/Zahlbach
Abzw. Lauterhofen
Abzw. Leberskirchen
Abzw. Lehner
Abzw. Leibelbach
Abzw. Leimersberg
Abzw. Leinbach
Abzw. Lengenloh
Abzw. Leoni
Abzw. Leonrod
Abzw. Lerchenhöchstadt
Abzw. Lichtenau (b.Feuchtwang)
Abzw. Lichtenhaag
Abzw. Limmersdorf (Friesen)
Abzw. Linden
Abzw. Lindenberg-Siedlg.
Abzw. Linder Weg
Abzw. Lindflur
Abzw. Lindum
Abzw. Loch
Abzw. Lochau (b. Eckersdorf)
Abzw. Loderbach
Abzw. Loh
Abzw. Lohbach
Abzw. Lohbügl
Abzw. Loisnitz
Abzw. Luitpoldbad
Abzw. Löhlein
Abzw. Lösten
Abzw. Lösteneinzel
Abzw. Lüglas
Abzw. Lützelsdorf
Abzw. M.-Luther-Str.
Abzw. Magassing
Abzw. Maierhofen
Abzw. Maierholz
Abzw. Maiersdorf
Abzw. Mailing
Abzw. Mais
Abzw. Mallerstetten
Abzw. Mammendorf
Abzw. Mangolding
Abzw. Manholding
Abzw. Mannsdorf
Abzw. Maria Eck
Abzw. Maria Ehrenberg
Abzw. Maria Hilf
Abzw. Mariabrunn
Abzw. Marienstein
Abzw. Marktleugast (b.Enchenreuth)
Abzw. Martinszell
Abzw. Martlhof
Abzw. Masers
Abzw. Matzenhof (b. Velburg)
Abzw. Matzing
Abzw. Mausheim
Abzw. Max-Pöhlmann-Str.
Abzw. Meerbodenreuth
Abzw. Melanger
Abzw. Melkendorf/Eckersd. B22
Abzw. Mergners
Abzw. Merkendorf (Lkr. CO)
Abzw. Mettenhofen
Abzw. Meuchlein
Abzw. Mietraching
Abzw. Mießling
Abzw. Mimbach
Abzw. Mitgenfeld
Abzw. Mittelbach
Abzw. Mittelfeld
Abzw. Mittelramstadt
Abzw. Mittelricht
Abzw. Mittergars
Abzw. Mitterhof
